City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Hoyanger,NO,61.2204,6.0749,52.48,93,100,5.06,overcast clouds
274,Santa Maria,BR,-29.6842,-53.8069,72.7,49,0,12.66,clear sky
275,Fare,PF,-16.7,-151.0167,78.67,64,69,18.99,broken clouds
276,Igrim,RU,63.1906,64.4162,51.71,59,84,9.1,broken clouds
277,Beyneu,KZ,45.3167,55.2,73.53,28,29,10.09,scattered clouds
278,Husavik,IS,66.0449,-17.3389,45.86,70,99,4.05,overcast clouds
279,Rundu,NA,-17.9333,19.7667,77.52,15,0,3.27,clear sky
280,Bandarbeyla,SO,9.4942,50.8122,77.2,86,70,31.56,broken clouds
281,Catamarca,AR,-28.4696,-65.7852,88.59,19,73,4.0,broken clouds
282,Provideniya,RU,64.3833,-173.3,45.14,92,100,14.14,overcast clouds
283,Nantucket,US,41.2835,-70.0995,69.94,51,0,5.75,clear sky
284,Suhut,TR,38.5311,30.5458,76.98,19,0,7.74,clear sky
285,Kirakira,SB,-10.4544,161.9205,78.89,87,65,10.45,broken clouds
286,Belmonte,BR,-15.8631,-38.8828,79.3,64,81,8.75,broken clouds
287,Ovalle,CL,-30.5983,-71.2003,61.7,58,98,6.78,overcast clouds
288,Itoman,JP,26.1247,127.6694,82.42,89,75,36.82,broken clouds
289,Hurricane,US,37.1753,-113.2899,77.34,29,0,7.81,clear sky
290,Sao Filipe,CV,14.8961,-24.4956,79.56,76,16,8.46,few clouds
291,Geraldton,AU,-28.7667,114.6,52.21,93,0,6.91,clear sky
292,San Cristobal,VE,7.7669,-72.225,84.38,42,96,6.8,overcast clouds
293,Havoysund,NO,70.9963,24.6622,46.63,91,100,30.11,light rain
294,Yenagoa,NG,4.9247,6.2642,78.13,84,99,5.91,light rain
295,Luanda,AO,-8.8368,13.2343,75.2,78,0,4.61,clear sky
296,Kamenka,RU,51.3223,42.7678,59.43,58,78,2.26,broken clouds
297,Liverpool,GB,53.4106,-2.9779,60.62,60,40,16.11,scattered clouds
298,Riyadh,SA,24.6877,46.7219,96.94,13,3,9.98,clear sky
299,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,62,40,5.75,scattered clouds
300,Farafangana,MG,-22.8167,47.8333,68.63,87,36,8.57,light rain
301,Henties Bay,NA,-22.116,14.2845,57.0,91,21,8.16,few clouds
302,La Sarre,CA,48.8002,-79.1996,54.25,67,100,8.88,moderate rain
303,Dandong,CN,40.1292,124.3947,65.95,94,79,3.69,broken clouds
304,Bongandanga,CD,1.5,21.05,73.54,82,74,3.27,broken clouds
305,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,93.13,52,75,3.44,broken clouds
306,Pokhara,NP,28.2333,83.9833,70.59,83,100,2.68,overcast clouds
307,Sault Sainte Marie,CA,46.5168,-84.3333,73.69,73,20,8.05,few clouds
308,Sao Felix Do Xingu,BR,-6.6447,-51.995,101.21,25,99,4.16,overcast clouds
309,Lat Yao,TH,15.751,99.7893,77.27,87,99,4.59,heavy intensity rain
310,Katghora,IN,22.5,82.55,75.24,93,87,4.25,light rain
311,Hofn,IS,64.2539,-15.2082,46.0,82,100,6.38,overcast clouds
312,Berlevag,NO,70.8578,29.0864,44.6,93,100,26.46,overcast clouds
313,Tiksi,RU,71.6872,128.8694,35.47,98,100,7.52,overcast clouds
314,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.09,58,81,16.67,broken clouds
315,Shushtar,IR,32.0455,48.8567,94.93,11,0,5.03,clear sky
316,Grindavik,IS,63.8424,-22.4338,51.75,76,75,2.3,broken clouds
317,Mago,RU,53.2514,140.1822,46.26,85,84,5.01,broken clouds
318,Carnarvon,AU,-24.8667,113.6333,66.16,78,0,18.03,clear sky
